Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
5050,5050,7,2,-1,0,0,0,0.0
5060,5060,27,2,-1,0,0,0,0.5
5070,5070,27,3,-1,1,0,1,3.0
5080,5080,24,0,-1,0,0,0,0.0
5090,5090,23,0,-1,0,0,0,0.0
5100,5100,22,0,-1,0,0,0,0.0
5110,5110,20,0,-1,0,0,0,3.25
5120,5120,20,0,-1,0,0,0,8.6
5130,5130,19,2,-1,1,0,1,15.2
5140,5140,19,2,-1,2,0,2,3.6666666666666665
5150,5150,18,2,-1,2,0,2,7.0
5160,5160,18,2,-1,3,0,3,9.0
5170,5170,16,0,-1,3,0,3,9.833333333333334
5180,5180,15,0,-1,1,0,1,3.1666666666666665
5190,5190,11,0,-1,1,0,1,13.0
5200,5200,11,0,-1,1,0,1,14.75
5210,5210,11,0,-1,1,0,1,15.8
5220,5220,11,1,-1,3,0,3,16.833333333333332
5230,5230,11,2,-1,2,0,2,3.142857142857143
5240,5240,10,2,-1,2,0,2,6.0
5250,5250,9,2,-1,3,1,4,11.428571428571429
5260,5260,9,3,-1,3,1,4,16.25
5270,5270,30,0,-1,0,0,0,0.0
5280,5280,26,0,-1,0,0,0,1.1666666666666667
5290,5290,26,0,-1,0,0,0,2.4285714285714284
5300,5300,25,0,-1,0,0,0,5.714285714285714
5310,5310,24,1,-1,0,0,0,10.285714285714286
5320,5320,23,2,-1,0,0,0,0.0
5330,5330,22,2,-1,0,0,0,1.4285714285714286
5340,5340,21,2,-1,1,0,1,3.142857142857143
5350,5350,18,2,-1,2,0,2,9.4
5360,5360,16,0,-1,0,0,0,0.0
5370,5370,16,0,-1,0,0,0,0.8
5380,5380,15,0,-1,0,0,0,4.2
5390,5390,14,0,-1,0,0,0,10.4
5400,5400,14,0,-1,0,0,0,15.333333333333334
5410,5410,13,2,-1,0,0,0,0.0
5420,5420,11,2,-1,0,0,0,0.0
5430,5430,10,2,-1,0,0,0,1.8
5440,5440,9,2,-1,1,0,1,5.2
5450,5450,6,3,-1,1,0,1,15.333333333333334
5460,5460,5,0,-1,0,0,0,0.0
5470,5470,4,0,-1,0,0,0,0.0
5480,5480,24,0,-1,1,0,1,1.0
5490,5490,24,0,-1,2,0,2,5.0
5500,5500,24,1,-1,2,0,2,8.0
5510,5510,22,2,-1,1,0,1,1.25
5520,5520,22,2,-1,3,0,3,5.8
5530,5530,22,2,-1,3,0,3,12.833333333333334
5540,5540,22,3,-1,3,0,3,18.142857142857142
5550,5550,22,0,-1,2,0,2,0.5
5560,5560,22,0,-1,0,0,0,1.0
5570,5570,21,0,-1,1,0,1,2.4444444444444446
5580,5580,17,0,-1,0,0,0,6.666666666666667
5590,5590,15,0,-1,1,0,1,1.2
5600,5600,14,2,-1,0,0,0,0.0
5610,5610,12,2,-1,0,0,0,0.0
5620,5620,12,2,-1,2,0,2,3.0
5630,5630,12,2,-1,2,0,2,7.5
5640,5640,12,0,-1,0,0,0,0.0
5650,5650,10,0,-1,0,0,0,0.0
5660,5660,7,0,-1,0,0,0,0.0
5670,5670,5,0,-1,0,0,0,2.6666666666666665
5680,5680,4,0,-1,0,0,0,0.0
